N_individuals,steps,scenario,proportion_of_habitat,matrix_permeability,perceptual_range,vision_angle,total_crossings,assess_top_sections
100,500,8,40,35,9,120,1035,0.368
100,500,8,63,40,9,159,1038,0.359
100,500,8,80,88,27,102,702,0.405
100,500,8,80,88,27,100,754,0.406
100,500,8,60,80,24,106,738,0.396
100,500,8,81,88,27,102,753,0.388
100,500,8,63,40,19,159,1053,0.451
100,500,8,63,40,19,120,958,0.403
100,500,8,40,40,19,159,1435,0.387
100,500,8,80,85,27,102,868,0.403
100,500,8,13,51,39,94,870,0.459
100,500,8,13,51,27,94,857,0.438
100,500,8,25,38,39,116,1247,0.553
100,500,8,80,49,14,151,931,0.362
100,500,8,13,51,27,116,823,0.481
100,500,8,63,35,19,159,1028,0.45
100,500,8,25,51,27,94,857,0.401
100,500,8,37,30,14,108,1147,0.414
100,500,8,13,38,27,94,840,0.458
100,500,8,80,49,34,108,921,0.459
100,500,8,80,49,34,151,1004,0.533
100,500,8,31,86,31,147,1052,0.454
100,500,8,57,38,31,140,1264,0.534
100,500,8,37,49,34,151,1343,0.504
100,500,8,73,85,24,99,758,0.389
100,500,8,51,37,24,112,1006,0.391
100,500,8,80,30,34,151,996,0.614
100,500,8,16,15,30,123,701,0.673
100,500,8,31,86,41,140,990,0.505
100,500,8,41,87,30,171,1006,0.472
