"run_id","habitat_patches"
"2004949A.asc","3"
"2005454A.asc","9"
"2005604C.asc","3"
"2005616B.asc","5"
"2006197E.asc","8"
"2007640E.asc","11"
"2007702E.asc","15"
"2008401C.asc","5"
"2009499B.asc","10"
"2009502E.asc","18"
"201337E.asc","3"
"2016079C.asc","9"
"2016178B.asc","7"
"2017517A.asc","12"
"2017540B.asc","13"
"201762E.asc","10"
"2018351B.asc","2"
"2019741E.asc","18"
"201987A.asc","4"
"2021445D.asc","6"
"2023249C.asc","17"
"2028081B.asc","12"
"2034013A.asc","9"
"2034208A.asc","8"
"2034614E.asc","8"
"2034758B.asc","2"
"2034943E.asc","3"
"203556E.asc","8"
"203588D.asc","2"
"2036071C.asc","8"
"2038995C.asc","19"
"2039351C.asc","12"
"2039501E.asc","13"
"2040257B.asc","9"
"2040424A.asc","11"
"204089A.asc","14"
"2041573D.asc","7"
"2042905B.asc","12"
"2045083D.asc","3"
"2045214C.asc","4"
"2048266B.asc","3"
"2048966A.asc","7"
"2049170C.asc","14"
"204923B.asc","16"
"2050396C.asc","15"
"205058B.asc","8"
"2052097D.asc","2"
"2052421A.asc","5"
"205266A.asc","4"
"2053404D.asc","5"
"2054129E.asc","4"
"2054279A.asc","8"
"2056089E.asc","12"
"2057637C.asc","2"
"2057706E.asc","4"
"2060759E.asc","5"
"2062484D.asc","10"
"2062659A.asc","2"
"2063344E.asc","11"
"2064327A.asc","11"
"2067129D.asc","6"
"2067258B.asc","2"
"2067497D.asc","5"
"2069083A.asc","15"
"20697D.asc","5"
"2069958A.asc","2"
"2070489A.asc","18"
"2070557C.asc","10"
"2070610B.asc","14"
"2071080E.asc","5"
"2071221A.asc","12"
"2071294B.asc","6"
"2071568D.asc","2"
"2072779E.asc","8"
"207521E.asc","11"
"2075869C.asc","5"
"2077681A.asc","2"
"2077729A.asc","17"
"2078113D.asc","18"
"2078691D.asc","18"
"2079101E.asc","7"
"2080076D.asc","3"
"2081748A.asc","8"
"2081791B.asc","8"
"20817C.asc","4"
"2082249A.asc","11"
"2082275E.asc","3"
"2083214D.asc","10"
"2084903A.asc","8"
"2085039A.asc","10"
"2085611B.asc","5"
"208601D.asc","5"
"2086131B.asc","2"
"2086230E.asc","10"
"2087733C.asc","9"
"2088130A.asc","12"
"2088891E.asc","10"
"2089733D.asc","11"
"2090631E.asc","10"
"2091008A.asc","5"
"2092264B.asc","9"
"2095066E.asc","11"
"2096496E.asc","13"
"2098333A.asc","2"
"2099278B.asc","2"
"2099934A.asc","12"
"2106200C.asc","10"
"2106862B.asc","9"
"2108062E.asc","9"
"2108754D.asc","4"
"2109454C.asc","10"
"2110741A.asc","5"
"2111623E.asc","2"
"2115276B.asc","3"
"2117054C.asc","4"
"2119519C.asc","13"
"2119982C.asc","2"
"2124041D.asc","12"
"212433D.asc","17"
"2125206E.asc","3"
"2125739E.asc","4"
"2126587E.asc","9"
"2130345B.asc","2"
"2130655E.asc","2"
"213091A.asc","12"
"2132004C.asc","2"
"2132712D.asc","9"
"2133404E.asc","2"
"2136213C.asc","4"
"2138673A.asc","12"
"2138807C.asc","3"
"2139563B.asc","6"
"2139630B.asc","5"
"213981E.asc","7"
"2140500C.asc","3"
"2140758E.asc","4"
"2141387A.asc","6"
"214183D.asc","17"
"2142227D.asc","9"
"2145284D.asc","14"
"2149690E.asc","3"
"2150696D.asc","2"
"2150701D.asc","12"
"2152456D.asc","2"
"2152477E.asc","2"
"2152928E.asc","4"
"2152954A.asc","3"
"2153634D.asc","10"
"2154771C.asc","5"
"2155449E.asc","5"
"2156225D.asc","7"
"2159202C.asc","3"
"2160010B.asc","3"
"2161106B.asc","3"
"2161904A.asc","13"
"216534D.asc","7"
"2165707A.asc","7"
"2168018A.asc","9"
"2168454E.asc","9"
"2168587B.asc","16"
"2169365B.asc","16"
"2169427E.asc","14"
"2169469C.asc","4"
"217009C.asc","6"
"2170868D.asc","15"
"2171118D.asc","10"
"2172951B.asc","14"
"2173435C.asc","3"
"2174377E.asc","16"
"2177316E.asc","13"
"2178062E.asc","8"
"2178496B.asc","14"
"217883C.asc","20"
"2182272D.asc","5"
"2183352C.asc","2"
"2184983C.asc","6"
"2187700E.asc","3"
"2188035C.asc","11"
"219075B.asc","9"
"2191404A.asc","14"
"2191635E.asc","7"
"2192478B.asc","7"
"2195764D.asc","8"
"219658A.asc","5"
"2196845C.asc","10"
"219735C.asc","7"
"2198576C.asc","7"
"2199359A.asc","15"
"2200203B.asc","3"
"2204495A.asc","14"
"2205428D.asc","6"
"2205857A.asc","20"
"2205971D.asc","15"
"2207009D.asc","6"
"2207982E.asc","6"
"2210319C.asc","10"
"2211853D.asc","11"
"2212970B.asc","5"
"2213883A.asc","7"
"2214820E.asc","4"
"2215059D.asc","5"
"2217143D.asc","6"
"2217649C.asc","11"
"2217978B.asc","13"
"2219511E.asc","5"
"2219852B.asc","2"
"2219957C.asc","12"
"2221650E.asc","3"
"2224892C.asc","7"
"2228804A.asc","12"
"2228820E.asc","7"
"2229128A.asc","2"
"2230035A.asc","12"
"2230432A.asc","2"
"2233520B.asc","5"
"2234211E.asc","13"
"2234290A.asc","9"
"2236436B.asc","4"
"223652E.asc","14"
"2237685C.asc","6"
"2238876B.asc","7"
