N_individuals,steps,scenario,proportion_of_habitat,matrix_permeability,perceptual_range,vision_angle,total_crossings,assess_top_sections
100,500,6,10,63,32,122,823,0.447
100,500,3,10,38,39,172,1212,0.88
100,500,4,10,54,9,97,618,0.388
100,500,4,10,38,39,172,1721,0.557
100,500,6,10,45,28,179,609,0.466
100,500,3,10,38,39,90,823,0.6
100,500,3,10,85,39,172,1127,0.588
100,500,4,10,69,26,151,1003,0.403
100,500,1,10,72,12,131,819,0.407
100,500,7,10,14,31,149,188,0.537
100,500,2,10,14,31,149,2193,0.663
100,500,5,10,74,7,112,624,0.367
100,500,7,10,14,31,144,207,0.512
100,500,7,10,74,7,112,508,0.404
100,500,5,10,74,7,113,620,0.366
100,500,5,10,13,40,91,730,0.436
100,500,7,10,15,31,149,190,0.516
100,500,5,10,54,7,112,507,0.379
100,500,6,10,78,28,153,702,0.434
100,500,2,10,30,22,162,1584,0.718
100,500,4,10,48,33,93,841,0.386
100,500,5,10,87,17,131,572,0.407
100,500,2,10,48,33,93,1134,0.478
100,500,3,10,75,16,112,501,0.413
100,500,4,10,48,33,123,1026,0.468
100,500,4,10,74,33,93,852,0.424
100,500,5,10,75,16,112,541,0.407
100,500,3,10,75,16,141,509,0.409
100,500,3,10,71,16,112,532,0.395
100,500,6,10,87,24,120,643,0.415
100,500,3,10,62,25,127,585,0.453
100,500,7,10,17,40,124,580,0.497
100,500,6,10,62,25,127,701,0.429
100,500,3,10,62,25,159,583,0.518
100,500,3,10,63,25,127,622,0.473
100,500,6,10,29,25,138,708,0.415
100,500,6,10,25,7,93,504,0.478
100,500,4,10,67,22,148,889,0.394
100,500,3,10,80,10,140,533,0.426
100,500,4,10,50,7,152,736,0.466
100,500,4,10,21,28,154,1839,0.403
100,500,5,10,21,28,154,736,0.439
100,500,4,10,21,28,106,1247,0.423
100,500,4,10,42,17,142,1089,0.453
100,500,4,10,23,28,154,1789,0.411
100,500,1,10,23,20,95,1062,0.614
100,500,2,10,23,20,95,1031,0.614
100,500,1,10,23,20,147,1377,0.72
100,500,1,10,82,20,95,761,0.398
100,500,5,10,86,27,126,811,0.416
100,500,1,10,52,15,168,1039,0.596
100,500,7,10,52,15,168,258,0.496
100,500,5,10,58,24,158,742,0.468
100,500,1,10,84,9,134,567,0.384
100,500,3,10,84,9,134,572,0.404
100,500,1,10,52,15,148,1009,0.511
100,500,1,10,72,15,168,840,0.476
100,500,1,10,84,9,123,568,0.407
100,500,1,10,12,9,134,976,0.607
100,500,5,10,56,20,119,566,0.403
100,500,6,10,56,20,119,673,0.406
100,500,6,10,76,5,179,558,0.453
100,500,2,10,76,5,179,517,0.356
100,500,6,10,56,20,97,681,0.38
100,500,6,10,22,20,119,602,0.547
100,500,2,10,76,5,95,579,0.363
100,500,6,10,85,29,147,781,0.429
100,500,6,10,37,25,172,804,0.418
100,500,2,10,55,5,179,624,0.476
100,500,6,10,61,7,150,504,0.468
100,500,5,10,39,10,115,380,0.408
100,500,6,10,16,7,167,454,0.804
100,500,3,10,48,21,166,359,0.532
100,500,2,10,45,11,169,854,0.566
100,500,4,10,41,27,118,1164,0.406
100,500,5,10,38,35,152,953,0.475
100,500,5,10,76,19,152,616,0.419
100,500,5,10,38,35,149,864,0.519
100,500,5,10,32,35,152,809,0.462
100,500,2,10,38,35,152,1896,0.55
100,500,6,10,78,7,126,569,0.392
100,500,1,10,69,10,177,688,0.494
100,500,6,10,78,7,177,482,0.402
100,500,6,10,78,7,126,569,0.392
100,500,6,10,50,7,126,591,0.418
100,500,1,10,28,24,92,1136,0.603
100,500,1,10,18,29,121,1891,0.782
100,500,1,10,28,24,169,1942,0.833
100,500,4,10,28,24,169,1800,0.409
100,500,1,10,63,24,169,1316,0.643
100,500,5,10,19,21,118,430,0.528
100,500,5,10,40,32,148,671,0.446
100,500,2,10,14,11,131,891,0.626
100,500,5,10,65,19,149,655,0.394
100,500,5,10,13,37,95,646,0.438
100,500,5,10,13,37,99,683,0.455
100,500,5,10,11,37,95,641,0.441
100,500,3,10,35,10,133,292,0.438
100,500,4,10,13,37,95,1282,0.406
100,500,6,10,52,34,154,876,0.497
100,500,5,10,24,27,134,655,0.403
100,500,5,10,24,27,172,576,0.47
100,500,5,10,46,27,172,677,0.464
100,500,2,10,24,27,172,1934,0.749
100,500,5,10,87,19,100,593,0.415
100,500,5,10,87,19,151,564,0.406
100,500,4,10,29,32,171,1616,0.446
100,500,5,10,33,19,151,478,0.421
100,500,6,10,87,19,151,738,0.369
100,500,2,10,57,19,144,977,0.495
100,500,2,10,57,19,104,790,0.452
100,500,2,10,26,19,104,993,0.586
100,500,5,10,34,12,127,347,0.415
100,500,7,10,57,19,104,536,0.394
100,500,5,10,34,12,173,243,0.506
100,500,5,10,56,12,127,487,0.413
100,500,6,10,69,34,138,897,0.47
100,500,4,10,34,12,127,958,0.511
100,500,2,10,19,34,102,1570,0.563
100,500,6,10,78,25,109,714,0.396
100,500,6,10,78,25,159,820,0.411
100,500,6,10,66,25,109,675,0.421
100,500,6,10,78,25,109,714,0.396
100,500,6,10,63,32,169,842,0.466
100,500,5,10,19,24,146,473,0.478
100,500,5,10,19,24,157,589,0.462
100,500,5,10,89,24,146,713,0.412
100,500,2,10,47,7,111,701,0.392
100,500,3,10,85,34,93,843,0.426
100,500,3,10,19,24,146,266,0.658
100,500,2,10,19,29,121,1654,0.648
100,500,2,10,42,29,121,1355,0.518
100,500,2,10,19,29,135,1848,0.643
100,500,4,10,85,37,90,762,0.453
100,500,4,10,53,32,114,1000,0.432
